~	-ish
🗳️	vote
🪶🔊	vowel
⏳	wait
🥡💁🧑	waiter
🛌🛏	wake
🚶	walk
🧱‖	wall
❤️‍🔥	want
🎖️⚔️	war
🤏♨️	warm
🗣️⚠️	warn
⤺=	was
🧼⟿	wash/clean
⤺≠	wasn't
👀	watch/see
💧	water
🌊	wave
🛣️	way
👇👇	we
❄️~	weak
👖⟿	wear
[☀️🌧️]	weather
💍💒	wedding
3☀️	Wednesday
⓻☀️	week
⚖️↕	weight
👾	weird
👍	well/good
⤺→	went
⤺=	were/was
⥢🧭	west
💧~	wet
__	what
__⏰	when
__📍	where
	whether
__⌥	which
〰️	while/continue
◻️	white
__👤	who
:	who/that
∀◔	whole
__∵	why
|⟷|	wide
💍👩	wife
⤻	will
🏆	win
🌬️	wind
🍷	wine
❄️⏰	winter
🧞	wish
🧑‍🤝‍🧑	with
🚫🧑‍🤝‍🧑	without
⤺🛌🛏	woke
👩	woman
⤺🏆	won
🤔⟿	wonder
😍	wonderful
💬	word
⤺👖⟿	wore
🛠️	work
🛠️🧑	worker
🌍	world
😟	worry
	would
🤩	wow
✍️	write
✍️🧑	writer
❌	wrong
⤺✍️	wrote
🏠⧂🪴	yard
👍	yeah/good
⥁☀️	year
🗯️	yell
🟨	yellow
👍	yes/good
⏮️☀️	yesterday
👋	yo/hello
🫵	you
🐣~	young
🫵の	your
🫵🤳	yourself
‍	zero-width-joiner
